COMMUNITY AREA NAME,CENSUS BLOCK,BUILDING TYPE,BUILDING_SUBTYPE,KWH JANUARY 2010,KWH FEBRUARY 2010,KWH MARCH 2010,KWH APRIL 2010,KWH MAY 2010,KWH JUNE 2010,KWH JULY 2010,KWH AUGUST 2010,KWH SEPTEMBER 2010,KWH OCTOBER 2010,KWH NOVEMBER 2010,KWH DECEMBER 2010,TOTAL KWH,ELECTRICITY ACCOUNTS,ZERO KWH ACCOUNTS,THERM JANUARY 2010,THERM FEBRUARY 2010,THERM MARCH 2010,TERM APRIL 2010,THERM MAY 2010,THERM JUNE 2010,THERM JULY 2010,THERM AUGUST 2010,THERM SEPTEMBER 2010,THERM OCTOBER 2010,THERM NOVEMBER 2010,THERM DECEMBER 2010,TOTAL THERMS,GAS ACCOUNTS,KWH TOTAL SQFT,THERMS TOTAL SQFT,KWH MEAN 2010,KWH STANDARD DEVIATION 2010,KWH MINIMUM 2010,KWH 1ST QUARTILE 2010,KWH 2ND QUARTILE 2010,KWH 3RD QUARTILE 2010,KWH MAXIMUM 2010,KWH SQFT MEAN 2010,KWH SQFT STANDARD DEVIATION 2010,KWH SQFT MINIMUM 2010,KWH SQFT 1ST QUARTILE 2010,KWH SQFT 2ND QUARTILE 2010,KWH SQFT 3RD QUARTILE 2010,KWH SQFT MAXIMUM 2010,THERM MEAN 2010,THERM STANDARD DEVIATION 2010,THERM MINIMUM 2010,THERM 1ST QUARTILE 2010,THERM 2ND QUARTILE 2010,THERM 3RD QUARTILE 2010,THERM MAXIMUM 2010,THERMS SQFT MEAN 2010,THERMS SQFT STANDARD DEVIATION 2010,THERMS SQFT MINIMUM 2010,THERMS SQFT 1ST QUARTILE 2010,THERMS SQFT 2ND QUARTILE 2010,THERMS SQFT 3RD QUARTILE 2010,THERMS SQFT MAXIMUM 2010,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,OCCUPIED UNITS PERCENTAGE,RENTER-OCCUPIED HOUSING UNITS,RENTER-OCCUPIED HOUSING PERCENTAGE,OCCUPIED HOUSING UNITS
Albany Park,,,,2220671,2109977,2078785,2080695,2582217,2881111,2683380,2614551,2196303,2236975,2572044,2611331,28868040,636,363,270493,213493,158624,82739,47881,25599,20464,18072,24207,40705,93500,206269,1202046,237,1643197,1459262,145065.5,718983.50,199,5682,11576,25182,9214828,8882.15,22342.29,600,1463,2340,5593,232469,5835.17,15238.40,44,1157,1711,3527,170425,7445.21,20326.03,600,1402,2131.5,5019.5,232469,20271,7713,1.65,66.77,678.87,6822,0.8845,4535,0.6648,6822
Albany Park,170311401001001,Residential,Multi 7+,11921,12145,9759,11542,14348,26617,24210,20383,11983,10335,25327,22462,201032,48,22,7247,5904,5180,3113,1822,1272,1234,952,1780,1472,1961,4885,36822,21,48825,48825,20103.2,8609.69,9414,12563,19072.5,22177,36781,24412.5,5698.57,20383,20383,24412.5,28442,28442,5260.29,8435.63,882,957,1102,8024,23460,24412.5,5698.57,20383,20383,24412.5,28442,28442,132,64,3,65.5,2.2,60,0.9375,33,0.55,60
Albany Park,170311401001001,Residential,Multi < 7,1233,1645,994,1055,1284,3527,3099,2527,904,626,2092,1622,20608,Less than 4,1,321,130,86,49,19,13,7,10,12,9,21,78,755,Less than 4,3306,3306,20608,,20608,20608,20608,20608,20608,3306,,3306,3306,3306,3306,3306,755,,755,755,755,755,755,3306,,3306,3306,3306,3306,3306,132,64,2,86,2.2,60,0.9375,33,0.55,60
Albany Park,170311401001001,Residential,Single Family,4141,3798,2939,4727,5324,9676,7591,6287,2920,2565,5979,5073,61020,6,2,1222,1016,860,543,346,247,203,179,170,190,298,791,6065,6,9472,9472,10170,4410.10,5619,6746,9055.5,13014,17530,1578.67,863.85,1226,1226,1226,1226,3342,1010.83,620.53,496,514,835.5,1240,2144,1578.67,863.85,1226,1226,1226,1226,3342,132,64,1.17,14.33,2.2,60,0.9375,33,0.55,60
Albany Park,170311401001002,Residential,Multi 7+,1230,1333,1260,1405,1699,2094,732,1312,1462,1358,1372,1495,16752,Less than 4,2,2961,2664,1616,798,344,404,320,272,368,745,1260,2901,14653,6,14407,14407,16752,,16752,16752,16752,16752,16752,14407,,14407,14407,14407,14407,14407,14653,,14653,14653,14653,14653,14653,14407,,14407,14407,14407,14407,14407,228,79,3,86,3.51,65,0.8228,49,0.754,65
Albany Park,170311401001002,Residential,Multi < 7,12977,14639,12718,14973,16384,32940,24454,23926,15012,13679,31979,30660,244341,49,32,11508,9057,8000,4529,2809,1507,1179,991,994,1254,2595,7167,51590,54,58835,58835,15271.31,8089.70,5462,10343.5,12427,17495.5,34236,3677.19,1061.65,2414,2546,3553.5,4692,5530,3224.38,1079.13,2071,2499,2933.5,3593.5,5754,3677.19,1061.65,2414,2546,3553.5,4692,5530,228,79,2.5,87.69,3.51,65,0.8228,49,0.754,65
Albany Park,170311401001003,Commercial,Multi < 7,2878,3755,4571,2984,3111,4808,4132,3564,2174,1985,5968,5400,45330,7,0,1793,1573,1352,890,853,541,448,438,439,565,787,1538,11217,6,8240,8240,22665,9526.14,15929,15929,22665,29401,29401,8240,,8240,8240,8240,8240,8240,5608.5,5620.79,1634,1634,5608.5,9583,9583,8240,,8240,8240,8240,8240,8240,231,70,1,0,3.73,62,0.8856,49,0.79,62
Albany Park,170311401001003,Residential,Multi 7+,1478,1890,1364,1271,1464,2118,2384,3767,2059,1387,2874,3244,25300,7,2,1554,1195,1280,821,663,607,487,476,382,459,590,971,9485,9,13305,13305,12650,7587.26,7285,7285,12650,18015,18015,13305,,13305,13305,13305,13305,13305,4742.5,4067.99,1866,1866,4742.5,7619,7619,13305,,13305,13305,13305,13305,13305,231,70,3,92,3.73,62,0.8856,49,0.79,62
Albany Park,170311401001003,Residential,Multi < 7,4985,2636,2353,4761,4391,7362,6462,8015,7314,3816,7496,6391,65982,13,3,3107,2749,2228,1331,738,443,329,284,288,301,520,1821,14139,13,16654,16654,13196.4,4131.01,8496,8889,15768,16035,16794,3330.8,1046.07,2448,2572,2692,4388,4554,2827.8,113.21,2689,2777,2784,2933,2956,3330.8,1046.
Lakeview,170310628003010,Commercial,Multi < 7,1009,1580,1444,1371,1688,2140,3871,7806,3011,2647,3480,3975,34022,9,2,304,214,170,80,39,25,27,19,16,25,78,213,1210,5,15920,4656,17011,2221.73,15440,15440,17011,18582,18582,7960,4672.56,4656,4656,7960,11264,11264,1210,,1210,1210,1210,1210,1210,4656,,4656,4656,4656,4656,4656,77,37,2,49.5,2.14,36,0.973,22,0.611,36
