census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170312306002002,10601.0,11300.0,12149.0,21631.0,20210.0,22767.0,20431.0,25175.0,23690.0,16500.0,19953.0,30365.0,234772.0,176.0
170318398002006,2287.0,2607.0,2752.0,3291.0,3360.0,3679.0,11749.0,12157.0,7289.0,3870.0,3255.0,5862.0,62158.0,33.0
170317506001016,15555.0,18777.0,15487.0,16262.0,20483.0,22850.0,21924.0,22430.0,16417.0,16646.0,15811.0,18942.0,221584.0,3.0
170311101001022,3277.0,3057.0,3078.0,4057.0,6877.0,10504.0,8410.0,6882.0,4418.0,3885.0,5433.0,4545.0,64423.0,30.0
170316113003003,4704.0,5360.0,6031.0,5065.0,8231.0,8274.0,11386.0,12002.0,8194.0,5258.0,6377.0,8740.0,89622.0,87.0
170314913001004,1162.0,1295.0,1282.0,1292.0,4740.0,2898.0,2801.0,3676.0,4619.0,4258.0,3697.0,2791.0,34511.0,58.0
170315202003035,11613.0,12721.0,12383.0,11468.0,13662.0,24141.0,22820.0,16686.0,13317.0,13667.0,20154.0,21953.0,194585.0,67.0
170311005004022,4377.0,2826.0,2300.0,2819.0,3937.0,7499.0,8028.0,3191.0,2770.0,2717.0,3567.0,4745.0,48776.0,13.0
170317403002002,11457.0,11139.0,9157.0,7275.0,14552.0,19489.0,25106.0,14369.0,10674.0,10816.0,12643.0,12762.0,159439.0,40.0
170317110002011,9727.0,11034.0,11720.0,9498.0,8975.0,17371.0,16623.0,7193.0,6631.0,8516.0,16938.0,14895.0,139121.0,69.0
170317404001022,0.0,2589.0,2560.0,2057.0,2909.0,4695.0,6435.0,5932.0,4156.0,2324.0,2622.0,3822.0,40101.0,37.0
170310404023006,11008.0,16175.0,14649.0,14259.0,19820.0,25909.0,28588.0,22055.0,15893.0,15367.0,23669.0,23774.0,231166.0,202.0
170314909012013,4316.0,4520.0,4533.0,4723.0,7561.0,8289.0,9581.0,7025.0,5202.0,6864.0,11741.0,10912.0,85267.0,53.0
170316606002014,7239.0,6188.0,4447.0,4275.0,5578.0,8036.0,8624.0,12054.0,6625.0,7981.0,12874.0,12204.0,96125.0,67.0
170311910001015,7898.0,7275.0,7370.0,5548.0,7207.0,15315.0,17032.0,10734.0,8562.0,7587.0,9774.0,11196.0,115498.0,89.0
170312909001012,5020.0,8040.0,10919.0,10949.0,8999.0,9610.0,15376.0,19007.0,12231.0,8346.0,16318.0,23735.0,148550.0,147.0
170310317003002,35714.0,41861.0,34872.0,33243.0,33970.0,44144.0,54889.0,44290.0,37083.0,47672.0,91193.0,131220.0,630151.0,228.0
170311710003004,6248.0,8570.0,9298.0,7998.0,10851.0,15801.0,16673.0,18122.0,12659.0,12595.0,11523.0,11944.0,142282.0,57.0
170317005016020,2889.0,4202.0,4259.0,2816.0,3891.0,5288.0,6611.0,7206.0,4333.0,4877.0,6049.0,4592.0,57013.0,20.0
170310803001001,126844.0,119164.0,114828.0,112540.0,153193.0,217554.0,211415.0,216741.0,140379.0,124151.0,141330.0,158247.0,1836386.0,159.0
170311204002006,2230.0,3271.0,3205.0,2269.0,2980.0,8984.0,6398.0,4918.0,2727.0,3466.0,4503.0,4028.0,48979.0,10.0
170312315006019,97.0,3132.0,1385.0,2509.0,3048.0,4060.0,5573.0,3057.0,2666.0,3704.0,4931.0,4325.0,38487.0,25.0
170314804001016,9463.0,6478.0,7167.0,7311.0,7349.0,14250.0,11741.0,11424.0,7153.0,7653.0,12116.0,10027.0,112132.0,39.0
170311710006005,5796.0,9346.0,8229.0,8892.0,16806.0,17326.0,21632.0,12755.0,6537.0,12499.0,12581.0,14211.0,146610.0,42.0
170317505003000,2387.0,4038.0,4379.0,4089.0,4900.0,6406.0,6703.0,5309.0,2656.0,3157.0,4391.0,5470.0,53885.0,21.0
170311502005005,7882.0,13779.0,11696.0,11937.0,13527.0,25685.0,36498.0,25579.0,14208.0,10774.0,22168.0,21058.0,214791.0,173.0
170318380002003,0.0,142.0,129.0,90.0,66.0,102.0,152.0,279.0,265.0,836.0,661.0,335.0,3057.0,31.0
170315302004039,2463.0,1578.0,1267.0,3307.0,2150.0,2277.0,3319.0,3556.0,2414.0,1949.0,2587.0,2839.0,29706.0,14.0
170313814001006,1042.0,3761.0,3507.0,4928.0,4775.0,4908.0,7410.0,8609.0,5865.0,3934.0,7871.0,12606.0,69216.0,71.0
170311101002001,8203.0,9233.0,7129.0,8489.0,12508.0,19363.0,17443.0,13760.0,9913.0,8179.0,12212.0,10706.0,137138.0,71.0
170316604004014,8088.0,9790.0,8307.0,8644.0,9190.0,18844.0,19965.0,20640.0,14153.0,12463.0,13416.0,13062.0,156562.0,101.0
170311002003019,10169.0,9266.0,10820.0,11535.0,16956.0,22677.0,26631.0,10195.0,10945.0,9113.0,19253.0,15311.0,172871.0,44.0
170317005021022,11349.0,7587.0,8760.0,11036.0,15285.0,20544.0,19789.0,14088.0,10297.0,8375.0,14156.0,15008.0,156274.0,39.0
170313901001004,15256.0,14417.0,12795.0,12173.0,12136.0,18332.0,22176.0,22013.0,14513.0,10454.0,17288.0,19966.0,191519.0,43.0
170318313001003,3306.0,4111.0,3914.0,3459.0,3525.0,6160.0,6051.0,5152.0,5264.0,5862.0,9932.0,4423.0,61159.0,8.0
