census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170315305032057,2040.0,1983.0,1338.0,784.0,634.0,190.0,155.0,159.0,134.0,226.0,643.0,1550.0,9836.0,21.0
170314004001007,1435.0,1235.0,1201.0,632.0,416.0,221.0,137.0,130.0,135.0,185.0,322.0,881.0,6930.0,11.0
170311203003002,5454.0,5295.0,3733.0,1977.0,1249.0,539.0,441.0,343.0,355.0,571.0,1689.0,4084.0,25730.0,39.0
170310310003014,22242.0,17620.0,20195.0,6349.0,4750.0,2504.0,2406.0,2182.0,2400.0,3878.0,10623.0,25302.0,120451.0,289.0
170310404014007,4903.0,4578.0,3577.0,1365.0,864.0,411.0,359.0,371.0,408.0,825.0,1927.0,5252.0,24840.0,64.0
170311908003008,15307.0,14086.0,11174.0,6446.0,4988.0,3919.0,3582.0,3710.0,3497.0,4005.0,6141.0,14737.0,91592.0,140.0
170312916001015,5480.0,4866.0,4647.0,2821.0,1220.0,858.0,491.0,372.0,381.0,619.0,1029.0,2881.0,25665.0,96.0
170310313002004,19498.0,17244.0,14979.0,8998.0,6197.0,4628.0,2642.0,2544.0,3100.0,7067.0,11121.0,17893.0,115911.0,177.0
170310630001007,15247.0,12483.0,9421.0,5173.0,4005.0,2054.0,1971.0,1723.0,1786.0,1949.0,4839.0,10455.0,71106.0,181.0
170318343002030,5196.0,4771.0,3150.0,2036.0,1228.0,465.0,342.0,331.0,301.0,890.0,1899.0,4597.0,25206.0,54.0
170312315002001,3225.0,2918.0,1999.0,1223.0,741.0,252.0,284.0,228.0,285.0,683.0,1440.0,3464.0,16742.0,46.0
170311202003015,5243.0,4727.0,3186.0,1414.0,968.0,638.0,524.0,473.0,540.0,842.0,2101.0,5865.0,26521.0,87.0
170317112001007,4737.0,4155.0,4210.0,2090.0,1230.0,840.0,332.0,311.0,329.0,430.0,1253.0,2801.0,22718.0,49.0
170310311003002,4115.0,3916.0,1773.0,1723.0,1128.0,757.0,809.0,822.0,920.0,1041.0,1492.0,3691.0,22187.0,51.0
