Device,hours,BTU/hour,therms,Money saved a month
Range-Surface Unit,0.25,9000,0.69,0.19
Range- Oven Unit,0.25,25000,1.91,0.54
Broiler Unit,0.25,20000,1.53,0.43
Clothes Dryer,0.25,20000,1.53,0.43
Shower,0.25,117930,8.99,2.52
Bathtub,0.25,9000,0.69,0.19
Swimming Pool Heater,0.25,200000,15.25,4.28
Natural Gas Grill,0.25,35000,2.67,0.75
Fireplace,0.25,60000,4.58,1.28
Front Loading Washer - Hot Water,0.25,8000,0.61,0.17
Top Loading Washer - Hot Water,0.25,16000,1.22,0.34
Front Loading Washer - Warm Water,0.25,4000,0.31,0.09
Top Loading Washer - Warm Water,0.25,8000,0.61,0.17
